	alpha [deg]	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11
6.954	-2.102	-22.18	-19.80	-17.20	-15.50	-13.34	-11.34	-9.31	-6.99	-5.46	-3.86	-1.87	-0.23	1.14	2.60	3.95	4.11

5.050	-1.895	-23.20	-20.34	-17.20	-15.00	-12.41	-10.07	-7.73	-5.00	-3.08	-1.15	1.17	3.02	4.49	6.20	7.66	7.87

4.000	-1.732	-24.38	-21.09	-17.47	-14.84	-11.90	-9.10	-6.10	-2.70	-0.58	1.54	4.10	6.11	7.67	9.60	11.16	11.40

3.240	-1.586	-24.37	-20.70	-16.93	-14.07	-10.89	-7.81	-4.67	-1.33	0.98	3.27	5.99	8.09	9.65	11.69	13.24	13.46

2.560	-1.428	-27.73	-23.48	-17.48	-13.96	-10.39	-6.97	-3.48	0.15	2.69	5.19	8.09	10.33	11.94	14.08	15.67	15.87

1.960	-1.261	-25.24	-20.70	-15.81	-12.03	-8.08	-4.26	-0.44	3.42	6.08	8.65	11.65	13.87	15.31	17.46	18.91	18.96

1.440	-1.086	-26.33	-20.98	-15.33	-10.71	-6.27	-1.96	2.27	6.44	9.30	12.00	15.12	17.30	18.57	20.69	21.94	21.82

1.000	-0.906	-30.37	-24.15	-17.14	-11.54	-6.52	-1.73	2.88	7.30	10.30	13.01	16.08	18.07	19.06	20.83	21.72	21.29

0.640	-0.725	-29.19	-21.63	-13.78	-7.21	-1.41	4.12	9.27	13.92	16.90	19.44	22.27	23.72	23.95	25.08	25.23	24.19

0.360	-0.528	-26.91	-18.23	-9.54	-2.18	3.92	9.65	14.76	19.01	21.29	22.90	24.63	24.72	23.58	23.19	21.91	19.83

0.160	-0.326	-20.13	-10.42	-1.34	6.37	12.07	17.29	21.49	24.31	24.83	24.45	24.01	21.59	17.82	14.33	10.41	6.46

0.040	-0.129	-10.73	-0.85	7.54	14.54	18.79	22.38	24.40	24.77	22.63	19.08	14.93	8.72	1.43	-6.56	-13.96	-20.15

0.000	0.000	0.75	9.28	15.51	20.53	22.52	23.87	23.77	21.73	16.86	10.37	2.97	-6.39	-16.43	-28.05	-38.10	-45.98

-0.010	0.111	8.73	15.87	20.16	23.38	23.52	23.38	21.42	17.53	10.91	2.67	-6.56	-17.50	-28.72	-42.08	-53.22	-61.46

0.000	0.230	17.41	22.60	24.47	25.62	24.19	22.23	18.39	12.79	4.54	-5.25	-16.11	-28.37	-40.54	-55.33	-67.19	-75.82

0.040	0.376	19.82	22.01	21.16	19.63	15.59	10.92	4.48	-3.32	-13.47	-24.99	-37.87	-51.27	-63.96	-80.03	-92.33	-100.80

0.160	0.592	21.04	20.95	17.65	13.92	8.52	2.75	-4.40	-12.29	-22.05	-32.79	-44.52	-56.41	-67.17	-81.32	-91.57	-98.33

0.360	0.832	18.67	17.18	12.80	8.07	2.30	-3.75	-10.85	-18.26	-27.23	-36.85	-47.26	-57.47	-66.39	-78.40	-86.79	-92.01

0.640	1.072	12.66	10.37	5.68	0.55	-5.02	-10.88	-17.50	-24.09	-31.92	-40.18	-49.04	-57.42	-64.47	-74.48	-81.10	-85.20

1.000	1.321	9.16	6.83	2.42	-2.41	-7.42	-12.66	-18.49	-24.14	-30.91	-38.02	-45.60	-52.71	-58.59	-67.08	-72.54	-75.11

1.440	1.576	5.80	3.39	-0.82	-5.52	-10.14	-14.98	-20.30	-25.29	-31.31	-37.58	-44.14	-49.96	-54.69	-61.70	-65.90	-68.24

1.960	1.832	2.05	-0.35	-4.31	-8.83	-13.04	-17.52	-22.37	-26.73	-32.02	-37.49	-43.28	-48.55	-52.60	-58.86	-62.46	-64.16

2.560	2.083	-1.27	-3.62	-7.28	-11.57	-15.42	-19.52	-23.92	-27.83	-32.64	-37.32	-42.42	-47.04	-50.51	-56.03	-58.96	-60.01

3.240	2.327	-5.07	-7.36	-10.71	-14.82	-18.33	-22.14	-25.69	-28.97	-33.23	-37.60	-42.24	-46.28	-49.19	-54.05	-56.41	-57.01

4.000	2.561	-6.73	-8.88	-11.97	-15.85	-19.04	-22.53	-25.63	-28.67	-32.58	-36.55	-40.69	-44.26	-46.74	-51.03	-52.92	-53.12

5.050	2.820	-11.27	-13.36	-16.12	-19.84	-22.70	-25.91	-29.02	-31.72	-35.23	-38.80	-42.54	-45.65	-47.65	-51.47	-52.86	-52.53

6.675	3.149	-13.91	-15.77	-18.12	-21.49	-23.91	-26.68	-29.02	-31.10	-34.07	-37.07	-40.16	-42.65	-44.09	-47.17	-47.91	-46.92

8.413	3.380	-16.16	-17.82	-19.81	-22.91	-24.96	-27.38	-29.70	-31.52	-34.04	-36.59	-39.21	-41.24	-42.24	-44.73	-44.85	-43.06

10.150	3.509	-17.86	-19.33	-21.04	-23.89	-25.64	-27.44	-29.59	-31.12	-33.30	-35.48	-37.69	-39.32	-39.97	-41.93	-41.45	-38.76

11.891	3.538	-18.51	-19.78	-21.24	-23.82	-25.31	-27.31	-29.20	-30.35	-32.19	-34.04	-35.88	-37.16	-37.50	-38.93	-37.76	-33.85

13.629	3.471	-17.89	-18.93	-20.17	-22.50	-23.79	-24.73	-26.30	-27.20	-28.78	-30.34	-31.79	-32.78	-32.90	-33.80	-31.94	-26.71

15.366	3.320	-16.70	-17.53	-18.63	-20.78	-22.02	-22.68	-23.98	-24.61	-25.93	-27.22	-28.33	-29.02	-28.90	-29.24	-26.41	-20.10

17.500	3.031	-15.00	-15.67	-16.16	-17.33	-18.37	-19.62	-20.61	-20.95	-22.03	-23.04	-23.77	-24.15	-23.80	-23.43	-19.38	-15.78

18.842	2.820	-12.94	-12.83	-13.64	-15.30	-16.22	-17.24	-18.05	-18.27	-19.22	-20.08	-20.60	-20.83	-20.35	-19.55	-15.50	-15.08

20.579	2.492	-11.10	-11.32	-11.99	-13.30	-14.01	-14.64	-15.23	-15.27	-16.06	-16.74	-17.01	-17.03	-16.39	-15.11	-12.61	-15.18

22.317	2.127	-8.95	-8.94	-9.50	-10.58	-11.19	-11.70	-12.12	-12.04	-12.72	-13.28	-13.35	-13.24	-12.58	-11.49	-11.57	-15.31

24.054	1.737	-7.38	-7.20	-7.65	-8.54	-9.04	-9.29	-9.54	-9.34	-9.92	-10.37	-10.30	-10.14	-9.65	-9.48	-11.07	-15.26

25.795	1.333	-4.98	-4.65	-5.07	-5.79	-6.28	-6.58	-6.77	-6.53	-7.11	-7.56	-7.49	-7.50	-7.52	-8.36	-10.56	-14.88

27.533	0.933	-3.32	-2.86	-3.22	-3.80	-4.26	-4.48	-4.60	-4.34	-4.91	-5.40	-5.38	-5.65	-6.18	-7.61	-10.07	-14.39

29.270	0.549	-1.87	-1.28	-1.58	-2.02	-2.44	-2.59	-2.68	-2.44	-3.04	-3.62	-3.73	-4.27	-5.20	-7.01	-9.66	-13.94

30.400	0.315	-0.71	-0.05	-0.33	-0.70	-1.14	-1.38	-1.50	-1.31	-1.97	-2.64	-2.85	-3.55	-4.66	-6.63	-9.30	-13.33
