Natural Frequency		8.2V		8.3V		8.4V		8.5V		8.6V		8.7V		8.8V		8.9V		9.0V		9.1V		9.2V		9.3V		9.4V		9.5V		9.6V		9.7V		9.8V		9.9V		10.0V		Natural_Freq_w/Motor	
Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage
0.469	-1.42748	0.469	-0.21185	0.469	-0.229616	0.469	0.35731	0.469	0.478051	0.469	-0.263831	0.469	-0.361213	0.469	-0.89879	0.469	-1.18699	0.469	-0.414182	0.469	-1.37649	0.469	-0.898461	0.469	-1.37419	0.469	1.27159	0.469	1.70323	0.469	4.72207	0.469	1.37226	0.469	1.00017	0.469	0.751116	0.469	-0.577034	0.469	-0.000635739
0.47	-1.29589	0.47	-0.184873	0.47	-0.268108	0.47	0.356652	0.47	0.374418	0.47	-0.459583	0.47	-0.478993	0.47	-0.920504	0.47	-1.05408	0.47	-0.0328772	0.47	-1.23535	0.47	-0.629015	0.47	-0.987289	0.47	0.740589	0.47	2.3803	0.47	4.66713	0.47	1.31468	0.47	1.05182	0.47	0.472458	0.47	-0.785287	0.47	-0.0381411
0.471	-0.851415	0.471	-0.138484	0.471	-0.308245	0.471	0.317831	0.471	0.343492	0.471	-0.478664	0.471	-0.577363	0.471	-0.812923	0.471	-0.884972	0.471	0.138858	0.471	-1.08763	0.471	-0.27403	0.471	-0.522421	0.471	0.198406	0.471	2.96327	0.471	4.28813	0.471	1.47161	0.471	1.10544	0.471	0.400408	0.471	-0.972485	0.471	-0.0740015
0.472	-0.206257	0.472	-0.176319	0.472	-0.351015	0.472	0.261573	0.472	0.335926	0.472	-0.583285	0.472	-0.686918	0.472	-0.711263	0.472	-0.768508	0.472	0.456995	0.472	-0.737912	0.472	0.074375	0.472	-0.194742	0.472	-0.387862	0.472	3.37583	0.472	3.79168	0.472	1.12288	0.472	0.70078	0.472	0.210908	0.472	-0.81358	0.472	-0.106243
0.473	0.471142	0.473	-0.127628	0.473	-0.328314	0.473	0.279667	0.473	0.212224	0.473	-0.586575	0.473	-0.788577	0.473	-0.582956	0.473	-0.621777	0.473	0.630047	0.473	-0.604011	0.473	0.379353	0.473	0.249729	0.473	-0.957351	0.473	3.71042	0.473	3.24917	0.473	0.940946	0.473	0.737957	0.473	-0.160198	0.473	-0.837268	0.473	-0.134207
0.474	1.00905	0.474	-0.0657766	0.474	-0.333578	0.474	0.165177	0.474	0.158927	0.474	-0.618816	0.474	-0.782984	0.474	-0.482283	0.474	-0.26416	0.474	0.912982	0.474	-0.402338	0.474	0.594844	0.474	0.675448	0.474	-1.37155	0.474	3.95552	0.474	2.7287	0.474	0.71723	0.474	0.559313	0.474	0.000351244	0.474	-0.907673	0.474	-0.155263
0.475	1.2706	0.475	0.0806259	0.475	-0.342132	0.475	0.070756	0.475	0.0990496	0.475	-0.6175	0.475	-0.852073	0.475	-0.21514	0.475	-0.154934	0.475	0.989966	0.475	-0.10394	0.475	1.07945	0.475	1.20414	0.475	-1.9644	0.475	4.1164	0.475	1.69994	0.475	0.497791	0.475	0.22637	0.475	-0.320418	0.475	-0.667836	0.475	-0.171384
0.476	1.19296	0.476	0.0862188	0.476	-0.205599	0.476	0.0970756	0.476	-0.0315612	0.476	-0.466163	0.476	-0.654018	0.476	-0.104269	0.476	0.0029832	0.476	1.13308	0.476	0.114512	0.476	1.2683	0.476	1.48708	0.476	-2.40065	0.476	4.03152	0.476	0.633007	0.476	0.0957596	0.476	-0.0710405	0.476	-0.651715	0.476	-0.577034	0.476	-0.180596
0.477	0.795531	0.477	0.071414	0.477	-0.327327	0.477	-0.00655764	0.477	-0.099663	0.477	-0.576705	0.477	-0.739557	0.477	0.016472	0.477	0.288221	0.477	1.36206	0.477	0.450087	0.477	1.36667	0.477	1.73316	0.477	-2.6566	0.477	3.6739	0.477	-0.129931	0.477	-0.044721	0.477	0.0533193	0.477	-0.649741	0.477	-0.685273	0.477	-0.181912
0.478	0.182943	0.478	0.191168	0.478	-0.312851	0.478	-0.0539328	0.478	-0.191781	0.478	-0.525382	0.478	-0.745808	0.478	0.250387	0.478	0.420806	0.478	1.37818	0.478	0.667223	0.478	1.60782	0.478	2.0842	0.478	-2.83294	0.478	3.44097	0.478	-1.0146	0.478	-0.176319	0.478	-0.420103	0.478	-0.678693	0.478	-0.289493	0.478	-0.176648
0.479	-0.489192	0.479	0.156953	0.479	-0.176319	0.479	-0.137826	0.479	-0.237841	0.479	-0.38194	0.479	-0.606643	0.479	0.287563	0.479	0.573788	0.479	1.38081	0.479	0.964634	0.479	1.82397	0.479	2.24212	0.479	-2.93723	0.479	2.99354	0.479	-1.7624	0.479	-0.706657	0.479	-0.764889	0.479	-1.06427	0.479	-0.114468	0.479	-0.164146
0.48	-1.05111	0.48	0.194458	0.48	-0.239486	0.48	-0.181254	0.48	-0.276333	0.48	-0.361871	0.48	-0.506629	0.48	0.488579	0.48	0.833036	0.48	1.37522	0.48	1.09755	0.48	1.75652	0.48	2.35957	0.48	-3.07442	0.48	2.35957	0.48	-2.9471	0.48	-0.683628	0.48	-0.760941	0.48	-0.908002	0.48	-0.0828843	0.48	-0.144077
0.481	-1.36037	0.481	0.229002	0.481	-0.118087	0.481	-0.155592	0.481	-0.410563	0.481	-0.320089	0.481	-0.433592	0.481	0.676435	0.481	1.09459	0.481	1.42029	0.481	1.29692	0.481	1.78548	0.481	2.3168	0.481	-3.11588	0.481	1.72724	0.481	-3.48632	0.481	-0.90208	0.481	-0.884314	0.481	-0.768179	0.481	0.170441	0.481	-0.119403
0.482	-1.33931	0.482	0.247426	0.482	-0.10394	0.482	-0.298705	0.482	-0.412208	0.482	-0.205599	0.482	-0.307916	0.482	0.869883	0.482	1.10084	0.482	1.20019	0.482	1.42556	0.482	1.83976	0.482	2.43919	0.482	-2.85992	0.482	1.09985	0.482	-4.02784	0.482	-1.18304	0.482	-1.22384	0.482	-1.0873	0.482	0.416858	0.482	-0.0891352
0.483	-0.992882	0.483	0.334939	0.483	-0.00491267	0.483	-0.425038	0.483	-0.487876	0.483	-0.0555778	0.483	-0.0131375	0.483	0.87087	0.483	1.11005	0.483	1.01004	0.483	1.48412	0.483	1.58117	0.483	2.17731	0.483	-2.57962	0.483	0.110235	0.483	-4.39072	0.483	-1.22153	0.483	-1.0975	0.483	-0.958338	0.483	0.385604	0.483	-0.0555778
0.484	-0.41155	0.484	0.33461	0.484	0.0503584	0.484	-0.354305	0.484	-0.438856	0.484	0.0085761	0.484	-0.0236653	0.484	0.92022	0.484	1.19	0.484	0.924497	0.484	1.44365	0.484	1.42917	0.484	1.88253	0.484	-2.21575	0.484	-0.661585	0.484	-4.82236	0.484	-1.06197	0.484	-1.02348	0.484	-0.635266	0.484	0.771843	0.484	-0.0184014
0.485	0.25598	0.485	0.253019	0.485	0.0388436	0.485	-0.3622	0.485	-0.517486	0.485	0.101353	0.485	0.075362	0.485	1.02648	0.485	1.24329	0.485	0.693871	0.485	1.48247	0.485	1.19131	0.485	1.746	0.485	-1.84925	0.485	-1.25147	0.485	-5.02962	0.485	-1.3709	0.485	-1.26693	0.485	-0.786603	0.485	0.923181	0.485	0.0191039
0.486	0.837642	0.486	0.315199	0.486	0.122408	0.486	-0.394442	0.486	-0.480638	0.486	0.296775	0.486	0.347111	0.486	1.03438	0.486	1.20184	0.486	0.446468	0.486	1.44102	0.486	0.939301	0.486	1.38969	0.486	-1.32911	0.486	-2.10455	0.486	-5.10266	0.486	-1.19291	0.486	-0.96426	0.486	-0.420103	0.486	0.719862	0.486	0.0569383
0.487	1.18835	0.487	0.279996	0.487	0.179982	0.487	-0.419445	0.487	-0.415827	0.487	0.28526	0.487	0.320792	0.487	0.946868	0.487	1.09985	0.487	0.21683	0.487	1.26007	0.487	0.577736	0.487	0.943907	0.487	-0.68955	0.487	-2.77372	0.487	-4.80755	0.487	-1.0271	0.487	-0.941559	0.487	-0.11381	0.487	0.776449	0.487	0.0927987
0.488	1.22125	0.488	0.268482	0.488	0.205644	0.488	-0.331933	0.488	-0.392797	0.488	0.365864	0.488	0.502726	0.488	0.841919	0.488	1.04129	0.488	-0.0674216	0.488	1.18802	0.488	0.346782	0.488	0.556681	0.488	-0.214482	0.488	-3.23958	0.488	-4.45586	0.488	-0.979393	0.488	-0.869838	0.488	-0.233893	0.488	1.02583	0.488	0.127014
0.489	0.926471	0.489	0.238214	0.489	0.232292	0.489	-0.38523	0.489	-0.373386	0.489	0.489895	0.489	0.590896	0.489	0.875476	0.489	0.8939	0.489	-0.313838	0.489	0.966279	0.489	0.012524	0.489	0.0980626	0.489	0.265521	0.489	-3.63207	0.489	-3.92783	0.489	-0.776733	0.489	-0.598747	0.489	-0.00754462	0.489	0.764934	0.489	0.156624
0.49	0.381985	0.49	0.211566	0.49	0.237227	0.49	-0.338842	0.49	-0.339171	0.49	0.592212	0.49	0.729732	0.49	0.693213	0.49	0.721507	0.49	-0.488205	0.49	0.675777	0.49	-0.323708	0.49	-0.297718	0.49	0.902783	0.49	-4.04034	0.49	-3.3261	0.49	-0.486889	0.49	-0.249026	0.49	0.456337	0.49	0.929103	0.49	0.181956
0.491	-0.274688	0.491	0.201038	0.491	0.368825	0.491	-0.233564	0.491	-0.274688	0.491	0.531677	0.491	0.735983	0.491	0.526742	0.491	0.503384	0.491	-0.663888	0.491	0.384617	0.491	-0.632305	0.491	-0.761928	0.491	1.59663	0.491	-4.2509	0.491	-2.68851	0.491	-0.243105	0.491	-0.289164	0.491	0.393829	0.491	0.739602	0.491	0.201696
0.492	-0.87247	0.492	0.168467	0.492	0.300723	0.492	-0.183886	0.492	-0.181254	0.492	0.559313	0.492	0.77283	0.492	0.499107	0.492	0.278351	0.492	-1.00473	0.492	0.194787	0.492	-0.902409	0.492	-1.06756	0.492	1.97794	0.492	-4.52297	0.492	-1.79102	0.492	-0.0522879	0.492	0.0779939	0.492	0.517201	0.492	0.542205	0.492	0.213869
0.493	-1.26233	0.493	0.0816129	0.493	0.291511	0.493	-0.215469	0.493	-0.122035	0.493	0.608004	0.493	0.872844	0.493	0.21025	0.493	0.0845738	0.493	-1.10277	0.493	-0.0611707	0.493	-1.26924	0.493	-1.53934	0.493	2.31746	0.493	-4.28051	0.493	-0.804369	0.493	0.271772	0.493	0.325727	0.493	0.862646	0.493	0.330662	0.493	0.220448
0.494	-1.34556	0.494	0.00758912	0.494	0.354678	0.494	-0.145722	0.494	-0.0493269	0.494	0.563261	0.494	0.789938	0.494	0.0849028	0.494	-0.131246	0.494	-1.33306	0.494	-0.392468	0.494	-1.35938	0.494	-1.74101	0.494	2.72245	0.494	-4.00218	0.494	0.194129	0.494	0.621493	0.494	0.366522	0.494	0.812967	0.494	0.442849	0.494	0.219133
0.495	-1.10211	0.495	-0.00425468	0.495	0.294801	0.495	-0.0667636	0.495	0.0194329	0.495	0.554378	0.495	0.742234	0.495	-0.117758	0.495	-0.254948	0.495	-1.27911	0.495	-0.612894	0.495	-1.58968	0.495	-2.07231	0.495	2.98532	0.495	-3.57548	0.495	0.87416	0.495	0.685976	0.495	0.593528	0.495	0.885017	0.495	0.012195	0.495	0.21025
0.496	-0.594799	0.496	-0.0713695	0.496	0.289866	0.496	0.0658211	0.496	0.135897	0.496	0.488908	0.496	0.669526	0.496	-0.276991	0.496	-0.474717	0.496	-1.41597	0.496	-0.892868	0.496	-1.77655	0.496	-2.22694	0.496	3.05506	0.496	-3.19911	0.496	1.56044	0.496	1.01135	0.496	1.07551	0.496	1.07781	0.496	-0.153289	0.496	0.195116
0.497	0.0454235	0.497	-0.122693	0.497	0.241504	0.497	0.0901667	0.497	0.248084	0.497	0.409949	0.497	0.585632	0.497	-0.40826	0.497	-0.750085	0.497	-1.43373	0.497	-1.08303	0.497	-1.76668	0.497	-2.34899	0.497	3.05572	0.497	-2.68259	0.497	2.49479	0.497	1.20019	0.497	0.943249	0.497	0.876134	0.497	-0.139471	0.497	0.175047
0.498	0.654063	0.498	-0.117758	0.498	0.215185	0.498	0.117802	0.498	0.228015	0.498	0.394158	0.498	0.506016	0.498	-0.562887	0.498	-0.880695	0.498	-1.33306	0.498	-1.19357	0.498	-1.67587	0.498	-2.38189	0.498	3.16363	0.498	-1.84761	0.498	3.41992	0.498	1.26599	0.498	0.971872	0.498	0.743221	0.498	-0.44741	0.498	0.14807
0.499	1.08011	0.499	-0.17928	0.499	0.23295	0.499	0.201038	0.499	0.279996	0.499	0.31487	0.499	0.41291	0.499	-0.62079	0.499	-1.04092	0.499	-1.20443	0.499	-1.32188	0.499	-1.75845	0.499	-2.33551	0.499	2.90307	0.499	-1.12251	0.499	3.88972	0.499	1.50879	0.499	1.13538	0.499	1.08965	0.499	-0.666191	0.499	0.117473
0.5	1.21467	0.5	-0.241131	0.5	0.165177	0.5	0.232292	0.5	0.387907	0.5	0.21683	0.5	0.35073	0.5	-0.84319	0.5	-1.08171	0.5	-1.1258	0.5	-1.54164	0.5	-1.58441	0.5	-2.1391	0.5	2.52111	0.5	-0.503339	0.5	4.32268	0.5	1.54268	0.5	1.17519	0.5	0.765921	0.5	-0.586246	0.5	0.0832578
0.501	1.02385	0.501	-0.275017	0.501	0.0697691	0.501	0.269798	0.501	0.505029	0.501	0.0622022	0.501	0.177679	0.501	-0.904712	0.501	-1.21265	0.501	-1.01657	0.501	-1.53506	0.501	-1.48539	0.501	-1.95453	0.501	2.21481	0.501	0.402382	0.501	4.66384	0.501	1.38048	0.501	1.00905	0.501	0.413897	0.501	-0.803382	0.501	0.0470684
0.502	0.556023	0.502	-0.263502	0.502	0.0411465	0.502	0.30171	0.502	0.467523	0.502	-0.0137955	0.502	-0.0144535	0.502	-0.96755	0.502	-1.21068	0.502	-0.733635	0.502	-1.38669	0.502	-1.24851	0.502	-1.65646	0.502	1.75587	0.502	1.12354	0.502	4.88789	0.502	1.31534	0.502	1.14887	0.502	0.419819	0.502	-0.937282	0.502	0.00956309
0.503	-0.0677506	0.503	-0.249355	0.503	-0.0243233	0.503	0.413897	0.503	0.463575	0.503	-0.127628	0.503	-0.157895	0.503	-0.985644	0.503	-1.19488	0.503	-0.556636	0.503	-1.43439	0.503	-0.956364	0.503	-1.36168	0.503	1.23276	0.503	1.88911	0.503	4.84084	0.503	1.49958	0.503	0.978452	0.503	0.326056	0.503	-0.71225	0.503	-0.0276133
0.504	-0.683957	0.504	-0.289493	0.504	-0.0614997	0.504	0.349743	0.504	0.497462	0.504	-0.243434	0.504	-0.287848	0.504	-0.995843	0.504	-1.20475	0.504	-0.400035	0.504	-1.22943	0.504	-0.716856	0.504	-0.968537	0.504	0.703083	0.504	2.50795	0.504	4.4954	0.504	1.09228	0.504	0.594186	0.504	-0.145722	0.504	-0.898461	0.504	-0.0621577
0.505	-1.14027	0.505	-0.314825	0.505	-0.132562	0.505	0.342834	0.505	0.443507	0.505	-0.311864	0.505	-0.333249	0.505	-0.964589	0.505	-1.03401	0.505	0.012853	0.505	-1.16857	0.505	-0.322721	0.505	-0.509919	0.505	0.206631	0.505	3.14291	0.505	4.10093	0.505	0.936011	0.505	0.597476	0.505	-0.0108346	0.505	-0.962286	0.505	-0.0934121
0.506	-1.31892	0.506	-0.258567	0.506	-0.157895	0.506	0.415213	0.506	0.474432	0.506	-0.396416	0.506	-0.498404	0.506	-0.814567	0.506	-0.920504	0.506	0.164519	0.506	-0.924451	0.506	-0.00918959	0.506	-0.180596	0.506	-0.449713	0.506	3.54428	0.506	3.57685	0.506	0.694529	0.506	0.521807	0.506	-0.216456	0.506	-0.609604	0.506	-0.121048
0.507	-1.17876	0.507	-0.281268	0.507	-0.227971	0.507	0.339544	0.507	0.39021	0.507	-0.456951	0.507	-0.632305	0.507	-0.834307	0.507	-0.815554	0.507	0.461601	0.507	-0.723436	0.507	0.218475	0.507	0.264205	0.507	-1.01032	0.507	3.79037	0.507	3.12382	0.507	0.490882	0.507	0.0266708	0.507	-0.611578	0.507	-0.559268	0.507	-0.142761
0.508	-0.755678	0.508	-0.238499	0.508	-0.283571	0.508	0.355336	0.508	0.334939	0.508	-0.431618	0.508	-0.688892	0.508	-0.72541	0.508	-0.659611	0.508	0.604714	0.508	-0.463531	0.508	0.512925	0.508	0.670184	0.508	-1.4594	0.508	3.98941	0.508	2.36089	0.508	0.073388	0.508	-0.0868323	0.508	-0.711921	0.508	-0.62079	0.508	-0.158224
0.509	-0.158224	0.509	-0.154605	0.509	-0.295415	0.509	0.257625	0.509	0.36718	0.509	-0.581311	0.509	-0.773443	0.509	-0.573415	0.509	-0.375031	0.509	0.92976	0.509	-0.186189	0.509	1.02287	0.509	1.20217	0.509	-1.99302	0.509	4.12495	0.509	1.36634	0.509	-0.0470239	0.509	-0.172042	0.509	-0.659611	0.509	-0.251329	0.509	-0.168423
0.51	0.46193	0.51	-0.180267	0.51	-0.282584	0.51	0.267495	0.51	0.237885	0.51	-0.552359	0.51	-0.792196	0.51	-0.385888	0.51	-0.256593	0.51	1.0301	0.51	0.0510164	0.51	1.16104	0.51	1.48445	0.51	-2.46809	0.51	3.95355	0.51	0.497462	0.51	-0.187505	0.51	-0.599405	0.51	-1.02085	0.51	-0.141445	0.51	-0.172042
0.511	0.948184	0.511	-0.14638	0.511	-0.284229	0.511	0.264534	0.511	0.137542	0.511	-0.619803	0.511	-0.826411	0.511	-0.217443	0.511	-0.0789364	0.511	1.15413	0.511	0.314212	0.511	1.28277	0.511	1.72264	0.511	-2.7326	0.511	3.69989	0.511	-0.431947	0.511	-0.709947	0.511	-0.647109	0.511	-0.882011	0.511	-0.0216914	0.511	-0.168094
0.512	1.17453	0.512	-0.118745	0.512	-0.34608	0.512	0.182614	0.512	0.0825998	0.512	-0.582956	0.512	-0.625396	0.512	-0.0542618	0.512	0.271114	0.512	1.36469	0.512	0.474103	0.512	1.58281	0.512	2.07367	0.512	-2.92309	0.512	3.30971	0.512	-1.15541	0.512	-0.691195	0.512	-0.759954	0.512	-0.76456	0.512	0.243478	0.512	-0.157237
0.513	1.0857	0.513	-0.0322192	0.513	-0.325353	0.513	0.120105	0.513	-0.0190594	0.513	-0.583285	0.513	-0.740215	0.513	0.163532	0.513	0.297104	0.513	1.41207	0.513	0.903441	0.513	1.78778	0.513	2.22172	0.513	-3.07508	0.513	2.84911	0.513	-2.0552	0.513	-0.89879	0.513	-0.995843	0.513	-1.10507	0.513	0.378037	0.513	-0.139142
0.514	0.703083	0.514	0.0526613	0.514	-0.294428	0.514	0.0529903	0.514	-0.114468	0.514	-0.513867	0.514	-0.744163	0.514	0.337241	0.514	0.579052	0.514	1.32554	0.514	1.02583	0.514	1.75554	0.514	2.33851	0.514	-3.03856	0.514	2.17369	0.514	-2.95401	0.514	-1.18567	0.514	-1.17317	0.514	-1.009	0.514	0.358955	0.514	-0.116113
0.515	0.129317	0.515	0.0441075	0.515	-0.347725	0.515	-0.00228071	0.515	-0.180925	0.515	-0.407273	0.515	-0.579666	0.515	0.464891	0.515	0.770198	0.515	1.3637	0.515	1.13308	0.515	1.79732	0.515	2.29936	0.515	-3.09614	0.515	1.53445	0.515	-3.82453	0.515	-1.22318	0.515	-0.976104	0.515	-0.570783	0.515	0.68137	0.515	-0.0884772
0.516	-0.488863	0.516	0.110235	0.516	-0.309561	0.516	-0.0766334	0.516	-0.284887	0.516	-0.390823	0.516	-0.517815	0.516	0.526084	0.516	1.05149	0.516	1.39035	0.516	1.39891	0.516	1.86476	0.516	2.42175	0.516	-2.88065	0.516	0.845209	0.516	-4.34729	0.516	-1.06098	0.516	-1.15212	0.516	-0.772127	0.516	0.868239	0.516	-0.0562358
0.517	-0.995185	0.517	0.20367	0.517	-0.203296	0.517	-0.169081	0.517	-0.310548	0.517	-0.38194	0.517	-0.447739	0.517	0.657353	0.517	1.02484	0.517	1.2025	0.517	1.49958	0.517	1.64894	0.517	2.15658	0.517	-2.57074	0.517	-0.0746595	0.517	-4.61411	0.517	-1.34589	0.517	-1.10046	0.517	-0.611578	0.517	0.745524	0.517	-0.0216914
0.518	-1.26167	0.518	0.164848	0.518	-0.189807	0.518	-0.208231	0.518	-0.449384	0.518	-0.225339	0.518	-0.304626	0.518	0.865278	0.518	1.0505	0.518	1.02846	0.518	1.43082	0.518	1.38048	0.518	1.85654	0.518	-2.16048	0.518	-0.762915	0.518	-4.93125	0.518	-1.21397	0.518	-0.924451	0.518	-0.0986761	0.518	0.865607	0.518	0.013511
0.519	-1.22417	0.519	0.17406	0.519	-0.16283	0.519	-0.23488	0.519	-0.364174	0.519	-0.157895	0.519	-0.127628	0.519	0.900809	0.519	1.21993	0.519	0.879424	0.519	1.48708	0.519	1.26106	0.519	1.7154	0.519	-1.80188	0.519	-1.51796	0.519	-5.11055	0.519	-1.07447	0.519	-0.837926	0.519	-0.229945	0.519	0.993585	0.519	0.0500294
0.52	-0.890565	0.52	0.219461	0.52	-0.14638	0.52	-0.282584	0.52	-0.439185	0.52	0.074375	0.52	-0.00491267	0.52	1.01069	0.52	1.20579	0.52	0.635639	0.52	1.49826	0.52	1.04688	0.52	1.37555	0.52	-1.2745	0.52	-2.27365	0.52	-5.03883	0.52	-0.978078	0.52	-0.890565	0.52	0.0187749	0.52	0.697161	0.52	0.0845738
0.521	-0.347067	0.521	0.322108	0.521	-0.0763044	0.521	-0.30035	0.521	-0.431947	0.521	0.072401	0.521	0.129646	0.521	0.992927	0.521	1.14032	0.521	0.412581	0.521	1.28639	0.521	0.667223	0.521	0.935024	0.521	-0.619145	0.521	-2.98132	0.521	-4.63845	0.521	-0.773443	0.521	-0.294428	0.521	0.429689	0.521	0.938643	0.521	0.117802
0.522	0.267166	0.522	0.301052	0.522	-0.00557065	0.522	-0.393455	0.522	-0.489192	0.522	0.198406	0.522	0.327701	0.522	1.00806	0.522	1.08044	0.522	0.175705	0.522	1.06827	0.522	0.431992	0.522	0.549772	0.522	-0.138155	0.522	-3.41	0.522	-4.2986	0.522	-0.475703	0.522	-0.288177	0.522	0.386262	0.522	0.741576	0.522	0.147412
0.523	0.794544	0.523	0.313225	0.523	0.0470684	0.523	-0.364503	0.523	-0.472743	0.523	0.241504	0.523	0.333952	0.523	0.966937	0.523	1.07254	0.523	-0.126641	0.523	1.04557	0.523	0.0898377	0.523	0.0812839	0.523	0.472787	0.523	-3.87091	0.523	-3.84032	0.523	-0.246066	0.523	-0.208889	0.523	0.45239	0.523	0.456008	0.523	0.172744
0.524	1.10248	0.524	0.323424	0.524	0.134581	0.524	-0.41155	0.524	-0.405957	0.524	0.338886	0.524	0.469497	0.524	0.850144	0.524	0.88732	0.524	-0.328972	0.524	0.817573	0.524	-0.265147	0.524	-0.307916	0.524	0.928774	0.524	-4.18543	0.524	-3.12904	0.524	-0.0351801	0.524	0.179653	0.524	0.827114	0.524	0.306645	0.524	0.191826
0.525	1.11235	0.525	0.279338	0.525	0.166164	0.525	-0.406944	0.525	-0.431289	0.525	0.412252	0.525	0.583329	0.525	0.806388	0.525	0.721178	0.525	-0.557623	0.525	0.50141	0.525	-0.614868	0.525	-0.77443	0.525	1.6371	0.525	-4.27097	0.525	-2.25655	0.525	0.280983	0.525	0.474432	0.525	0.823166	0.525	0.362903	0.525	0.204986
0.526	0.822179	0.526	0.268482	0.526	0.169454	0.526	-0.258238	0.526	-0.376676	0.526	0.441533	0.526	0.788622	0.526	0.723152	0.526	0.580697	0.526	-0.753046	0.526	0.269798	0.526	-0.813909	0.526	-1.06756	0.526	2.05032	0.526	-4.36374	0.526	-1.47091	0.526	0.614584	0.526	0.453377	0.526	0.822837	0.526	0.0312767	0.526	0.211566
0.527	0.309935	0.527	0.233608	0.527	0.241833	0.527	-0.348054	0.527	-0.326998	0.527	0.583987	0.527	0.744866	0.527	0.564248	0.527	0.355665	0.527	-0.975446	0.527	0.07273	0.527	-1.17547	0.527	-1.52684	0.527	2.38984	0.527	-4.31867	0.527	-0.532619	0.527	0.697161	0.527	0.737628	0.527	0.991611	0.527	-0.100979	0.527	0.210908
0.528	-0.293441	0.528	0.198077	0.528	0.256638	0.528	-0.332591	0.528	-0.264489	0.528	0.589251	0.528	0.758683	0.528	0.328688	0.528	0.188536	0.528	-1.1077	0.528	-0.26745	0.528	-1.29786	0.528	-1.75088	0.528	2.71784	0.528	-3.98409	0.528	0.348427	0.528	1.00707	0.528	0.952132	0.528	0.981742	0.528	-0.152631	0.528	0.204657
0.529	-0.83332	0.529	0.293485	0.529	0.347111	0.529	-0.224681	0.529	-0.186518	0.529	0.562274	0.529	0.835997	0.529	0.18393	0.529	-0.0736725	0.529	-1.3199	0.529	-0.550385	0.529	-1.55612	0.529	-2.07067	0.529	3.04519	0.529	-3.52416	0.529	1.1594	0.529	1.20348	0.529	0.890281	0.529	0.699793	0.529	-0.498733	0.529	0.190839
0.53	-1.17547	0.53	0.153005	0.53	0.300394	0.53	-0.232577	0.53	-0.148354	0.53	0.599779	0.53	0.817902	0.53	0.016472	0.53	-0.276662	0.53	-1.30181	0.53	-0.743834	0.53	-1.70515	0.53	-2.23747	0.53	3.06099	0.53	-3.06093	0.53	2.15526	0.53	1.25316	0.53	1.17585	0.53	0.961344	0.53	-0.766534	0.53	0.17077
0.531	-1.23338	0.531	0.072072	0.531	0.264534	0.531	-0.132891	0.531	0.0220649	0.531	0.581684	0.531	0.740589	0.531	-0.191452	0.531	-0.445765	0.531	-1.39129	0.531	-1.00538	0.531	-1.76865	0.531	-2.32827	0.531	3.10672	0.531	-2.48684	0.531	2.84319	0.531	1.52327	0.531	1.26139	0.531	0.812967	0.531	-0.517157	0.531	0.146425
0.532	-0.994527	0.532	0.102997	0.532	0.394816	0.532	-0.121377	0.532	0.0513454	0.532	0.533651	0.532	0.683015	0.532	-0.238499	0.532	-0.655005	0.532	-1.43275	0.532	-1.11033	0.532	-1.76042	0.532	-2.38124	0.532	3.10046	0.532	-1.6989	0.532	3.44426	0.532	1.53281	0.532	1.04096	0.532	0.381985	0.532	-0.868194	0.532	0.117144
0.533	-0.516499	0.533	0.00528616	0.533	0.315528	0.533	-0.0483399	0.533	0.11517	0.533	0.450745	0.533	0.646167	0.533	-0.436882	0.533	-0.761599	0.533	-1.33504	0.533	-1.36136	0.533	-1.73147	0.533	-2.32893	0.533	2.84023	0.533	-0.865891	0.533	3.97164	0.533	1.37127	0.533	1.02385	0.533	0.432321	0.533	-0.942546	0.533	0.0845738
0.534	0.075033	0.534	-0.0121505	0.534	0.303355	0.534	0.0483844	0.534	0.270127	0.534	0.474432	0.534	0.545824	0.534	-0.642175	0.534	-0.953732	0.534	-1.24325	0.534	-1.43834	0.534	-1.60678	0.534	-2.12725	0.534	2.53887	0.534	-0.22501	0.534	4.34669	0.534	1.33574	0.534	1.19888	0.534	0.417187	0.534	-0.77114	0.534	0.0500294
0.535	0.628402	0.535	-0.0693956	0.535	0.257954	0.535	0.0638472	0.535	0.247097	0.535	0.315857	0.535	0.431992	0.535	-0.721133	0.535	-1.02447	0.535	-1.10704	0.535	-1.46269	0.535	-1.47486	0.535	-1.94236	0.535	2.14572	0.535	0.561287	0.535	4.70924	0.535	1.48181	0.535	0.824153	0.535	-0.0973601	0.535	-0.942217	0.535	0.01384
